1,"Pipeline","k=5; n=4; tau=2.000000","ciclos=8; tiempo=16.000000; speedup=2.500000","2026-07-05 01:12:24"
1,"Pipeline","k=5; n=4; tau=2.000000","ciclos=8; tiempo=16.000000; speedup=2.500000","2026-07-05 01:12:24"
2,"Pipeline","k=5; n=4; tau=2.000000","ciclos=8; tiempo=16.000000; speedup=2.500000","2026-07-05 01:12:44"
3,"Pipeline","k=5; n=4; tau=2.000000","ciclos=8; tiempo=16.000000; speedup=2.500000","2026-07-05 01:12:44"
4,"Pipeline","k=5; n=4; tau=2.000000","ciclos=8; tiempo=16.000000; speedup=2.500000","2026-07-05 01:15:47"
5,"Pipeline","k=5; n=4; tau=2.000000","ciclos=8; tiempo=16.000000; speedup=2.500000","2026-07-05 01:15:53"
6,"Pipeline","k=5; n=4; tau=2.000000","ciclos=8; tiempo=16.000000; speedup=2.500000","2026-07-05 01:15:53"
7,"Pipeline","k=5; n=4; tau=2.000000","ciclos=8; tiempo=16.000000; speedup=2.500000","2026-07-05 01:15:54"
8,"Pipeline","k=5; n=4; tau=2.000000","ciclos=8; tiempo=16.000000; speedup=2.500000","2026-07-05 01:16:41"
9,"Pipeline","k=5; n=4; tau=2.000000","ciclos=8; tiempo=16.000000; speedup=2.500000","2026-07-05 01:16:43"
10,"Pipeline","k=5; n=4; tau=2.000000","ciclos=8; tiempo=16.000000; speedup=2.500000","2026-07-05 01:17:50"
11,"Pipeline","k=5; n=4; tau=2.000000","ciclos=8; tiempo=16.000000; speedup=2.500000","2026-07-05 01:19:34"
12,"Pipeline","k=5; n=4; tau=2.000000","ciclos=8; tiempo=16.000000; speedup=2.500000","2026-07-05 01:19:50"
